Drug_Name,Drug_ID,Interactor_Name,Interactor_ID,Interaction_Description,targets_A,targets_B
Lepirudin,DB00001,Quinine,DB00468,The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinine.,['FGG'],['GP9']
Lepirudin,DB00001,Quinidine,DB00908,The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinidine.,['SERPINE1'],['KCNN4']
Lepirudin,DB00001,Pentoxifylline,DB00806,The therapeutic efficacy of Lepirudin can be increased when used in combination with Pentoxifylline.,['EPOR'],['KCNK6']
Lepirudin,DB00001,Levocarnitine,DB00583,The therapeutic efficacy of Lepirudin can be increased when used in combination with Levocarnitine.,['PLAUR'],['ADRA1A']
Bivalirudin,DB00006,Quinine,DB00468,The therapeutic efficacy of Bivalirudin can be increased when used in combination with Quinine.,['SLC6A2'],['GLP1R']
Leuprolide,DB00007,Corifollitropin alfa,DB09066,The therapeutic efficacy of Corifollitropin alfa can be increased when used in combination with Leuprolide.,['CHRNA7'],['ADRA2B']
Alteplase,DB00009,Quinine,DB00468,The therapeutic efficacy of Alteplase can be increased when used in combination with Quinine.,['TOP2A'],['OPRK1']
Alteplase,DB00009,Quinidine,DB00908,The therapeutic efficacy of Alteplase can be increased when used in combination with Quinidine.,['PON1'],['OPRM1']
Alteplase,DB00009,Pentoxifylline,DB00806,The therapeutic efficacy of Alteplase can be increased when used in combination with Pentoxifylline.,['TOP2A'],['HTR1A']
Alteplase,DB00009,Levocarnitine,DB00583,The therapeutic efficacy of Alteplase can be increased when used in combination with Levocarnitine.,['TOP2A'],['DRD2']
Darbepoetin alfa,DB00012,Nandrolone phenpropionate,DB00984,The therapeutic efficacy of Darbepoetin alfa can be increased when used in combination with Nandrolone phenpropionate.,['SLC12A1'],['CACNA2D1']
Darbepoetin alfa,DB00012,Nandrolone decanoate,DB08804,The therapeutic efficacy of Darbepoetin alfa can be increased when used in combination with Nandrolone decanoate.,['CA1'],['CACNB2']
Darbepoetin alfa,DB00012,Nandrolone,DB13169,The therapeutic efficacy of Darbepoetin alfa can be increased when used in combination with Nandrolone.,['CA2'],['CACNA1D']
Urokinase,DB00013,Levocarnitine,DB00583,The therapeutic efficacy of Urokinase can be increased when used in combination with Levocarnitine.,['GRIK5'],['TLR7']
Reteplase,DB00015,Quinine,DB00468,The therapeutic efficacy of Reteplase can be increased when used in combination with Quinine.,['CHRM3'],['CHRM3']
Reteplase,DB00015,Quinidine,DB00908,The therapeutic efficacy of Reteplase can be increased when used in combination with Quinidine.,['KCND2'],['ADRA1A']
Reteplase,DB00015,Pentoxifylline,DB00806,The therapeutic efficacy of Reteplase can be increased when used in combination with Pentoxifylline.,['ORM2'],['ADRA2C']
Reteplase,DB00015,Levocarnitine,DB00583,The therapeutic efficacy of Reteplase can be increased when used in combination with Levocarnitine.,['CHRM1'],['HTR6']
Reteplase,DB00015,Omega-3-carboxylic acids,DB09568,The therapeutic efficacy of Reteplase can be increased when used in combination with Omega-3-carboxylic acids.,['CHRM3'],['CACNA1I']
Erythropoietin,DB00016,Nandrolone phenpropionate,DB00984,The therapeutic efficacy of Erythropoietin can be increased when used in combination with Nandrolone phenpropionate.,['MGAM'],['SLC6A4']
Erythropoietin,DB00016,Nandrolone decanoate,DB08804,The therapeutic efficacy of Erythropoietin can be increased when used in combination with Nandrolone decanoate.,['SI'],['SLC6A2']
Erythropoietin,DB00016,Nandrolone,DB13169,The therapeutic efficacy of Erythropoietin can be increased when used in combination with Nandrolone.,['AMY2A'],['SLC18A2']
Asparaginase Escherichia coli,DB00023,Phenytoin,DB00252,The therapeutic efficacy of Phenytoin can be increased when used in combination with Asparaginase Escherichia coli.,['SLC18A2'],['ADRA2C']
Asparaginase Escherichia coli,DB00023,Liothyronine,DB00279,The therapeutic efficacy of Liothyronine can be increased when used in combination with Asparaginase Escherichia coli.,['SLC18A1'],['ADRA2B']
Asparaginase Escherichia coli,DB00023,Levothyroxine,DB00451,The therapeutic efficacy of Levothyroxine can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA1A'],['ADRA2A']
Asparaginase Escherichia coli,DB00023,Mephenytoin,DB00532,The therapeutic efficacy of Mephenytoin can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA1B'],['SELE']
Asparaginase Escherichia coli,DB00023,Carbamazepine,DB00564,The therapeutic efficacy of Carbamazepine can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA1D'],['HIF1A']
Asparaginase Escherichia coli,DB00023,Furosemide,DB00695,The therapeutic efficacy of Furosemide can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA2A'],['KCNJ4']
